"","x"
"1",1
"2",1.9795
"3",1.713
"4",2.0505
"5",2.489
"6",3.5405
"7",3.7835
"8",4.2955
"9",4.3395
"10",4.547
"11",2.912
"12",4.8585
"13",3.288
"14",3.4235
"15",2.0555
"16",3.346
"17",2.92
"18",3.511
"19",3.405
"20",3.209
"21",2.984
"22",3.5675
"23",3.643
"24",5.074
"25",3.195
"26",3.467
"27",1.9885
"28",3.573
"29",3.165
"30",3.461
"31",3.46
"32",3.4545
"33",4.29
"34",3.4215
"35",3.358
"36",2.6265
"37",3.238
"38",3.7095
"39",3.3085
"40",3.012
"41",3.519
"42",4.0085
"43",4.294
"44",3.4845
"45",3.0865
"46",3.1945
"47",3.0055
"48",3.226
"49",3.517
"50",3.4445
"51",3.5615
"52",3.518
"53",3.021
"54",2.5955
"55",3.462
"56",3.4385
"57",3.4975
"58",2.8645
"59",3.3565
"60",3.138
"61",3.1275
"62",3.5525
"63",3.365
"64",3.9235
"65",2.2905
"66",2.7615
"67",3.0395
"68",3.1935
"69",3.263
"70",2.976
"71",4.164
"72",4.023
"73",2.717
"74",2.6315
"75",2.895
"76",3.301
"77",3.9945
"78",2.8135
"79",3.25
"80",3.0975
"81",3.6645
"82",3.479
"83",3.858
"84",2.9105
"85",2.339
"86",2.3595
"87",3.3245
"88",3.28
"89",2.966
"90",3.6805
"91",3.491
"92",3.2095
"93",3.5475
"94",4.1645
"95",3.148
"96",3.553
"97",4.567
"98",3.2925
"99",4.6865
"100",3.3925
"101",2.9345
"102",3.7765
"103",4.821
"104",3.2265
"105",2.483
"106",3.4935
"107",3.943
"108",3.206
"109",3.592
"110",4.0605
"111",3.3515
"112",3.453
"113",3.326
"114",2.952
"115",2.6825
"116",3.9945
"117",3.524
"118",3.5525
"119",3.3685
"120",4.1145
"121",3.4415
"122",3.5295
"123",3.5415
"124",3.4105
"125",3.718
"126",3.592
"127",3.3265
"128",3.625
"129",3.2255
"130",4.882
"131",4.8255
"132",3.605
"133",2.871
"134",3.418
"135",3.389
"136",4.246
"137",3.372
"138",2.965
"139",3.3155
"140",3.2695
"141",2.761
"142",3.5135
"143",2.792
"144",4.261
"145",3.3045
"146",4.1625
"147",3.3215
"148",3.3645
"149",2.026
"150",3.8
"151",3.6065
"152",3.895
"153",3.604
"154",3.3895
"155",3.348
"156",2.7895
"157",3.4545
"158",3.913
"159",2.0875
"160",3.3955
"161",1.7535
"162",3.451
"163",3.9085
"164",2.6205
"165",1.6505
"166",2.9075
"167",3.3165
"168",3.624
"169",4.336
"170",3.174
"171",4.684
"172",3.4725
"173",3.436
"174",4.842
"175",4.2025
"176",3.2365
"177",3.664
"178",3.29
"179",3.842
"180",2.372
"181",3.376
"182",3.5025
"183",2.6125
"184",2.599
"185",2.826
"186",2.985
"187",3.312
"188",4.751
"189",3.5125
"190",3.538
"191",3.524
"192",3.8645
"193",4.2025
"194",3.4885
"195",3.3725
"196",3.5355
"197",3.398
"198",3.358
"199",3.784
"200",3.1515
"201",3.3265
"202",3.4945
"203",3.3695
"204",3.1635
"205",3.129
"206",2.838
"207",2.3665
"208",3.127
"209",3.529
"210",3.8225
"211",3.905
"212",3.3225
"213",3.515
"214",5.1395
"215",3.474
"216",3.5015
"217",3.609
"218",3.511
"219",4.12
"220",3.051
"221",2.0425
"222",3.7215
"223",3.585
"224",3.408
"225",2.7465
"226",3.326
"227",3.0385
"228",1.94
"229",2.775
"230",3.573
"231",3.1325
"232",3.567
"233",3.765
"234",3.638
"235",2.2525
"236",3.171
"237",3.342
"238",3.4335
"239",3.5485
"240",3.2525
"241",3.2335
"242",4.6985
"243",2.1215
"244",1.8975
"245",1.8985
"246",4.4605
"247",3.135
"248",3.3915
"249",3.296
"250",3.298
"251",3.3895
"252",3.4725
"253",3.343
"254",3.888
"255",4.9785
"256",3.5285
"257",3.466
"258",4.0325
"259",3.044
"260",3.7965
"261",4.4635
"262",3.519
"263",3.5975
"264",3.5945
"265",2.97
"266",3.097
"267",2.614
"268",3.501
"269",3.073
"270",3.4625
"271",3.37
"272",3.5975
"273",3.521
"274",3.469
"275",3.371
"276",3.8635
"277",3.55
"278",3.8335
"279",3.518
"280",4.0215
"281",3.465
"282",3.395
"283",3.4225
"284",3.1065
"285",3.5035
"286",4.879
"287",1.487
"288",3.4835
"289",3.8315
"290",4.0995
"291",3.1995
"292",3.441
"293",3.6925
"294",3.3175
"295",3.508
"296",3.395
"297",2.275
"298",3.4475
"299",3.323
"300",3.865
"301",3.418
"302",2.873
"303",3.6015
"304",3.914
"305",3.4965
"306",3.2715
"307",4.707
"308",3.3905
"309",3.0235
"310",3.587
"311",4.26
"312",3.3295
"313",3.079
"314",3.632
"315",3.485
"316",3.6805
"317",3.34
"318",3.474
"319",2.948
"320",3.5255
"321",3.38
"322",3.369
"323",2.6145
"324",3.647
"325",3.2745
"326",3.3275
"327",3.4735
"328",4.1295
"329",3.3135
"330",3.477
"331",3.454
"332",2.891
"333",3.5565
"334",2.7755
"335",3.3935
"336",2.3005
"337",3.342
"338",3.413
"339",3.4055
"340",3.8855
"341",3.535
"342",3.207
"343",3.6635
"344",2.9165
"345",3.4745
"346",3.7265
"347",3.519
"348",2.7815
"349",3.4885
"350",3.525
"351",3.955
"352",1.925
"353",3.549
"354",3.3135
"355",3.421
"356",3.55
"357",3.5555
"358",3.044
"359",3.3515
"360",3.589
"361",3.1165
"362",3.7185
"363",4.8205
"364",3.135
"365",3.4615
"366",2.796
"367",3.553
"368",3.56
"369",3.485
"370",3.5605
"371",3.438
"372",3.6815
"373",3.615
"374",3.6495
"375",3.0425
"376",2.447
"377",4.004
"378",3.4755
"379",3.2855
"380",2.9
"381",3.4555
"382",3.282
"383",3.3805
"384",3.349
"385",3.8245
"386",3.373
"387",3.59
"388",3.4545
"389",4.6585
"390",3.3155
"391",3.244
"392",3.521
"393",3.455
"394",3.5255
"395",3.3125
"396",2.8835
"397",4.193
